last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Yates, Kirby,489446,2018,250,139,.181,.183,-.002,.279,.324,-.045,.236,.255,-.019
Rondon, Hector,444468,2018,250,163,.252,.238,.014,.383,.353,.030,.301,.286,.015
Magill, Matt,543483,2018,249,167,.262,.267,-.005,.471,.499,-.028,.349,.368,-.019
Gearrin, Cory,518715,2018,248,168,.255,.258,-.003,.405,.416,-.011,.324,.333,-.009
Romero, Fernando,622864,2018,247,176,.279,.258,.021,.419,.407,.012,.334,.329,.005
Lopez, Pablo,641154,2018,247,179,.252,.239,.013,.428,.413,.015,.315,.307,.008
Grace, Matt,594840,2018,247,184,.240,.234,.006,.354,.377,-.023,.275,.284,-.009
Kimbrel, Craig,518886,2018,247,118,.146,.172,-.026,.305,.295,.010,.256,.264,-.008
Otero, Dan,519096,2018,247,196,.289,.274,.015,.515,.444,.071,.347,.314,.033
Arano, Victor,644364,2018,246,168,.239,.228,.011,.381,.379,.002,.286,.285,.001
Strahm, Matt,621381,2018,245,152,.178,.219,-.041,.306,.386,-.080,.250,.297,-.047
Norris, Bud,502032,2018,245,152,.237,.223,.014,.377,.361,.016,.301,.291,.010
Wilson, Alex,543935,2018,245,185,.223,.244,-.021,.371,.424,-.053,.278,.311,-.033
Barraclough, Kyle,607457,2018,245,146,.197,.206,-.009,.350,.315,.035,.300,.295,.005
Diekman, Jake,518617,2018,243,140,.240,.230,.010,.363,.347,.016,.319,.311,.008
De La Rosa, Jorge,407822,2018,243,168,.243,.256,-.013,.381,.385,-.004,.307,.320,-.013
Reed, Addison,592665,2018,242,180,.298,.272,.026,.509,.490,.019,.359,.344,.015
Robles, Hansel,570663,2018,242,156,.252,.239,.013,.438,.406,.032,.332,.321,.011
Jurado, Ariel,642558,2018,241,201,.297,.312,-.015,.459,.486,-.027,.349,.366,-.017
Anderson, Justin,605121,2018,241,129,.214,.189,.025,.276,.261,.015,.295,.281,.014
Rusin, Chris,543734,2018,241,166,.268,.249,.019,.435,.384,.051,.339,.316,.023
Scott, Tanner,656945,2018,240,135,.263,.242,.021,.426,.365,.061,.338,.312,.026
Duke, Zach,435043,2018,240,162,.271,.229,.042,.348,.301,.047,.308,.276,.032
Strop, Pedro,467008,2018,240,157,.179,.216,-.037,.274,.349,-.075,.242,.288,-.046
Vincent, Nick,543883,2018,238,165,.229,.206,.023,.376,.371,.005,.279,.272,.007
Baez, Pedro,520980,2018,237,151,.220,.205,.015,.354,.319,.035,.284,.268,.016
Williams, Taylor,592865,2018,236,153,.260,.253,.007,.407,.375,.032,.321,.308,.013
Wilson, Justin,458677,2018,236,134,.223,.237,-.014,.351,.367,-.016,.304,.316,-.012
Boxberger, Brad,502202,2018,235,131,.221,.211,.010,.402,.355,.047,.316,.298,.018
Shreve, Chasen,592741,2018,235,145,.261,.248,.013,.488,.446,.042,.355,.338,.017
Lopez, Jorge,605347,2018,234,173,.273,.280,-.007,.421,.444,-.023,.331,.351,-.020
Axford, John,446099,2018,233,154,.252,.236,.016,.398,.348,.050,.318,.295,.023
Rodriguez, Jefry,622446,2018,233,154,.228,.230,-.002,.423,.413,.010,.338,.336,.002
VerHagen, Drew,572403,2018,233,158,.222,.195,.027,.353,.323,.030,.283,.271,.012
Bradford, Chasen,607473,2018,231,174,.262,.274,-.012,.438,.484,-.046,.326,.354,-.028
Dominguez, Seranthony,622554,2018,231,131,.157,.184,-.027,.250,.286,-.036,.227,.252,-.025
Madson, Ryan,425492,2018,231,157,.282,.257,.025,.427,.380,.047,.329,.306,.023
Harris, Will,501789,2018,230,150,.226,.246,-.020,.311,.368,-.057,.260,.289,-.029
Oberg, Scott,623184,2018,228,156,.213,.251,-.038,.308,.354,-.046,.253,.289,-.036
Butler, Eddie,572750,2018,228,178,.292,.281,.011,.500,.449,.051,.362,.344,.018
McGee, Jake,459429,2018,227,162,.285,.269,.016,.541,.447,.094,.373,.335,.038
Peralta, Wandy,593974,2018,227,163,.302,.297,.005,.380,.400,-.020,.349,.353,-.004
Mayers, Mike,594577,2018,226,161,.289,.257,.032,.485,.414,.071,.348,.314,.034
Warren, Adam,476589,2018,223,149,.240,.261,-.021,.380,.431,-.051,.303,.334,-.031
Wright, Steven,453214,2018,223,153,.210,.231,-.021,.333,.373,-.040,.288,.310,-.022
Knebel, Corey,608349,2018,223,109,.194,.196,-.002,.372,.345,.027,.290,.283,.007
Leclerc, Jose,600917,2018,223,110,.126,.136,-.010,.194,.195,-.001,.205,.209,-.004
Beeks, Jalen,656222,2018,223,154,.268,.260,.008,.438,.398,.040,.346,.331,.015
Edwards Jr., Carl,605218,2018,222,123,.190,.203,-.013,.275,.301,-.026,.268,.282,-.014
Castillo, Diego,650895,2018,222,137,.178,.201,-.023,.302,.353,-.051,.248,.276,-.028
Cole, A.J.,595918,2018,221,140,.281,.245,.036,.577,.447,.130,.389,.331,.058
Barnes, Jacob,606930,2018,217,147,.266,.256,.010,.380,.377,.003,.316,.312,.004
Coleman, Louis,488786,2018,217,146,.235,.226,.009,.372,.335,.037,.312,.301,.011
Feliz, Michael,593140,2018,217,136,.261,.259,.002,.431,.438,-.007,.337,.345,-.008
Perdomo, Luis,606131,2018,217,153,.328,.272,.056,.492,.417,.075,.384,.334,.050
Fedde, Erick,607200,2018,217,149,.286,.280,.006,.490,.469,.021,.361,.359,.002
Volstad, Chris,458690,2018,216,171,.332,.297,.035,.551,.495,.056,.392,.362,.030
Freeman, Sam,518693,2018,216,124,.229,.231,-.002,.318,.317,.001,.302,.305,-.003
Miller, Justin,502522,2018,215,136,.218,.196,.022,.420,.390,.030,.301,.283,.018
Morgan, Adam,605388,2018,214,141,.259,.232,.027,.365,.344,.021,.304,.290,.014
Cueto, Johnny,456501,2018,214,158,.238,.236,.002,.399,.438,-.039,.307,.320,-.013
Maton, Phil,664208,2018,214,134,.269,.202,.067,.403,.305,.098,.331,.270,.061
Fry, Jace,605240,2018,214,123,.194,.210,-.016,.293,.328,-.035,.256,.275,-.019
Chapman, Aroldis,547973,2018,212,84,.136,.144,-.008,.215,.221,-.006,.239,.245,-.006
Pazos, James,572021,2018,212,146,.249,.228,.021,.365,.364,.001,.301,.295,.006
Holland, Greg,518813,2018,212,132,.242,.233,.009,.337,.341,-.004,.313,.313,.000
Kela, Keone,605309,2018,212,127,.199,.212,-.013,.335,.356,-.021,.263,.277,-.014
Giles, Ken,571704,2018,212,151,.266,.253,.013,.429,.406,.023,.310,.297,.013
Chafin, Andrew,605177,2018,211,131,.227,.245,-.018,.298,.346,-.048,.280,.309,-.029
Ohtani, Shohei,660271,2018,211,125,.203,.213,-.010,.332,.345,-.013,.277,.286,-.009
Smith, Will,519293,2018,210,124,.194,.180,.014,.283,.284,-.001,.228,.228,.000
Elias, Roenis,606273,2018,210,159,.242,.244,-.002,.342,.374,-.032,.280,.296,-.016
Drake, Oliver,543118,2018,209,140,.274,.249,.025,.421,.378,.043,.328,.303,.025
Brebbia, John,605154,2018,209,133,.226,.209,.017,.363,.369,-.006,.278,.277,.001
Minaya, Juan,573668,2018,209,119,.220,.204,.016,.333,.293,.040,.301,.281,.020
Petricka, Jake,502593,2018,208,146,.317,.276,.041,.511,.413,.098,.386,.337,.049
Samardzija, Jeff,502188,2018,207,149,.270,.272,-.002,.425,.491,-.066,.343,.365,-.022
Garcia, Luis,472610,2018,204,131,.271,.252,.019,.425,.381,.044,.335,.316,.019
Bassitt, Chris,605135,2018,204,140,.221,.230,-.009,.315,.373,-.058,.282,.308,-.026
Roe, Chaz,475054,2018,203,126,.197,.216,-.019,.337,.348,-.011,.281,.293,-.012
Neris, Hector,593576,2018,203,110,.250,.212,.038,.489,.419,.070,.341,.300,.041
Bibens-Dirkx, Austin,502212,2018,203,151,.308,.275,.033,.533,.440,.093,.388,.343,.045
Ramirez, Erasmo,541640,2018,202,154,.284,.311,-.027,.585,.556,.029,.381,.392,-.011
Ferguson, Caleb,657571,2018,202,128,.230,.242,-.012,.401,.375,.026,.297,.293,.004
Conley, Adam,543045,2018,202,133,.207,.240,-.033,.363,.372,-.009,.278,.307,-.029
Strickland, Hunter,519326,2018,201,142,.247,.258,-.011,.431,.433,-.002,.323,.336,-.013
Norris, Daniel,596057,2018,200,128,.261,.277,-.016,.455,.484,-.029,.341,.361,-.020
Suero, Wander,593833,2018,200,134,.240,.253,-.013,.408,.437,-.029,.309,.331,-.022
Rosario, Randy,600968,2018,200,148,.264,.297,-.033,.376,.436,-.060,.317,.353,-.036
Hutchison, Drew,571800,2018,199,140,.305,.280,.025,.524,.486,.038,.393,.375,.018
McAllister, Zach,502083,2018,199,148,.310,.291,.019,.533,.476,.057,.372,.346,.026
Hill, Tim,657612,2018,198,140,.257,.232,.025,.374,.329,.045,.304,.279,.025
Hudson, Daniel,543339,2018,197,131,.217,.234,-.017,.349,.353,-.004,.290,.300,-.010
Avilan, Luis,501593,2018,197,126,.251,.235,.016,.366,.322,.044,.300,.280,.020
Devenski, Chris,606965,2018,196,129,.236,.224,.012,.421,.364,.057,.309,.286,.023
Cessa, Luis,570666,2018,195,143,.282,.283,-.001,.431,.431,.000,.330,.332,-.002
Font, Wilmer,521655,2018,192,139,.263,.245,.018,.514,.452,.062,.357,.328,.029
Barnes, Danny,592130,2018,191,129,.285,.226,.059,.503,.385,.118,.371,.307,.064
Nix, Jacob,656798,2018,190,152,.304,.339,-.035,.544,.590,-.046,.384,.418,-.034
Kelley, Shawn,518875,2018,190,128,.188,.187,.001,.381,.334,.047,.257,.247,.010
Reed, Cody,642003,2018,188,129,.269,.242,.027,.395,.366,.029,.319,.301,.018
Despaigne, Odrisamer,628333,2018,188,132,.321,.317,.004,.469,.477,-.008,.369,.376,-.007
Blevins, Jerry,460283,2018,188,120,.225,.212,.013,.394,.388,.006,.321,.314,.007
Johnson, Pierce,572955,2018,186,128,.236,.229,.007,.416,.398,.018,.319,.318,.001
Musgrave, Harrison,643466,2018,185,130,.224,.244,-.020,.472,.395,.077,.333,.321,.012
Herrera, Kelvin,516969,2018,184,135,.250,.241,.009,.390,.396,-.006,.298,.298,.000
Jackson, Luke,592426,2018,184,115,.259,.234,.025,.392,.353,.039,.321,.301,.020
Nicasio, Juan,504379,2018,183,123,.308,.238,.070,.500,.387,.113,.349,.280,.069
Loup, Aaron,571901,2018,183,121,.296,.259,.037,.444,.385,.059,.349,.316,.033
Stephens, Jackson,623451,2018,183,132,.307,.296,.011,.515,.469,.046,.377,.357,.020
Triggs, Andrew,592811,2018,182,118,.231,.248,-.017,.413,.506,-.093,.319,.360,-.041
Kittredge, Andrew,552640,2018,181,133,.338,.304,.034,.556,.483,.073,.398,.363,.035
Duensing, Brian,488846,2018,181,127,.286,.264,.022,.463,.383,.080,.372,.348,.024
Pannone, Thomas,623381,2018,181,135,.231,.223,.008,.419,.407,.012,.309,.302,.007
Wainwright, Adam,425794,2018,181,121,.263,.237,.026,.410,.387,.023,.327,.312,.015
Darvish, Yu,506433,2018,180,106,.235,.223,.012,.425,.395,.030,.335,.322,.013
Ramirez, Neil,519166,2018,180,108,.228,.231,-.003,.456,.431,.025,.333,.327,.006
Smith, Joe,501925,2018,180,120,.207,.230,-.023,.378,.374,.004,.279,.295,-.016
Wood, Hunter,621056,2018,179,119,.264,.241,.023,.390,.354,.036,.317,.297,.020
Martin, Chris,455119,2018,177,132,.274,.273,.001,.417,.435,-.018,.307,.320,-.013
McGuire, Deck,592547,2018,177,113,.266,.277,-.011,.510,.491,.019,.386,.390,-.004
Yacabonis, Jimmy,642231,2018,177,121,.261,.261,.000,.471,.424,.047,.358,.343,.015
Solis, Sammy,519301,2018,177,111,.277,.250,.027,.490,.430,.060,.368,.339,.029
Woodruff, Brandon,605540,2018,176,113,.226,.234,-.008,.346,.369,-.023,.284,.299,-.015
Sparkman, Glenn,642098,2018,176,133,.303,.278,.025,.458,.396,.062,.342,.320,.022
Melancon, Mark,453343,2018,174,128,.302,.301,.001,.409,.460,-.051,.335,.354,-.019
Stumpf, Daniel,621385,2018,173,120,.286,.271,.015,.474,.415,.059,.350,.328,.022
Ramos, Edubray,591693,2018,173,116,.218,.213,.005,.314,.317,-.003,.262,.260,.002
Lewicki, Artie,592499,2018,170,125,.320,.313,.007,.473,.502,-.029,.358,.378,-.020
Britton, Zack,502154,2018,170,111,.201,.228,-.027,.292,.337,-.045,.281,.311,-.030
Salas, Fernando,477569,2018,170,125,.265,.235,.030,.404,.411,-.007,.307,.299,.008
Workman, Brandon,519443,2018,167,114,.230,.218,.012,.405,.398,.007,.304,.303,.001
Hatcher, Chris,501822,2018,167,119,.289,.273,.016,.463,.411,.052,.358,.337,.021
Wisler, Matt,605538,2018,166,127,.265,.279,-.014,.490,.509,-.019,.328,.345,-.017
Stock, Robert,476594,2018,166,113,.247,.212,.035,.300,.285,.015,.276,.257,.019
Rios, Yacksel,605441,2018,165,112,.293,.271,.022,.490,.409,.081,.363,.327,.036
Tuivailala, Sam,592815,2018,165,121,.277,.274,.003,.405,.399,.006,.320,.317,.003
Fulmer, Carson,608334,2018,164,106,.280,.308,-.028,.530,.605,-.075,.400,.435,-.035
Doolittle, Sean,448281,2018,163,95,.135,.161,-.026,.213,.259,-.046,.172,.202,-.030
Buchter, Ryan,488748,2018,163,107,.219,.212,.007,.356,.360,-.004,.282,.286,-.004
Guerra, Javy,457915,2018,162,117,.292,.273,.019,.479,.423,.056,.355,.329,.026
Brice, Austin,592169,2018,162,114,.271,.250,.021,.535,.467,.068,.359,.327,.032
Belisle, Matt,279571,2018,162,123,.336,.293,.043,.548,.498,.050,.399,.367,.032
Maurer, Brandon,543506,2018,160,103,.323,.281,.042,.585,.464,.121,.422,.374,.048
Fry, Paul,643316,2018,159,104,.236,.243,-.007,.286,.313,-.027,.282,.294,-.012
Moya, Gabriel,622382,2018,159,114,.245,.241,.004,.420,.355,.065,.314,.292,.022
Stewart, Kohl,640464,2018,159,114,.246,.259,-.013,.326,.366,-.040,.306,.324,-.018
Saupold, Warwick,599683,2018,158,127,.293,.328,-.035,.493,.539,-.046,.363,.395,-.032
Graveman, Kendall,608665,2018,158,117,.306,.303,.003,.542,.542,.000,.388,.387,.001
Vizcaino, Arodys,527055,2018,158,101,.213,.224,-.011,.355,.382,-.027,.287,.303,-.016
Cecil, Brett,446399,2018,157,113,.302,.279,.023,.496,.488,.008,.378,.380,-.002
Albers, Matt,458006,2018,157,111,.321,.278,.043,.586,.484,.102,.400,.351,.049
Goeddel, Erik,592340,2018,155,90,.195,.208,-.013,.301,.309,-.008,.268,.279,-.011
Valdez, Framber,664285,2018,154,92,.175,.178,-.003,.270,.250,.020,.282,.277,.005
Rondon, Bruce,541652,2018,154,86,.298,.251,.047,.427,.354,.073,.371,.337,.034
Fields, Josh,451661,2018,154,110,.196,.252,-.056,.322,.414,-.092,.251,.310,-.059
Rucinski, Drew,607968,2018,154,110,.254,.237,.017,.358,.345,.013,.297,.290,.007
Miller, Andrew,453192,2018,154,88,.233,.208,.025,.391,.306,.085,.321,.282,.039
Davis, Austin,656354,2018,152,99,.265,.236,.029,.485,.364,.121,.342,.292,.050
Burnes, Corbin,669203,2018,152,103,.199,.246,-.047,.324,.397,-.073,.259,.307,-.048
Hughes, Phil,461833,2018,152,109,.314,.319,-.005,.600,.661,-.061,.403,.428,-.025
Sipp, Tony,448609,2018,151,95,.200,.198,.002,.311,.283,.028,.258,.255,.003
Mayza, Tim,641835,2018,151,95,.244,.200,.044,.370,.325,.045,.298,.262,.036
Castillo, Jose,620454,2018,150,83,.170,.171,-.001,.267,.265,.002,.234,.235,-.001
Osuna, Roberto,532077,2018,150,110,.234,.270,-.036,.305,.401,-.096,.256,.308,-.052
Reid-Foley, Sean,656887,2018,150,86,.244,.216,.028,.441,.380,.061,.346,.317,.029
Makita, Kazuhisa,628318,2018,149,98,.241,.263,-.022,.444,.423,.021,.322,.325,-.003
Peralta, Wily,503449,2018,149,90,.230,.227,.003,.385,.413,-.028,.324,.335,-.011
Graves, Brett,605255,2018,148,111,.311,.288,.023,.462,.432,.030,.365,.346,.019
Beck, Chris,571476,2018,148,106,.270,.254,.016,.524,.454,.070,.382,.353,.029
Wittgren, Nick,621295,2018,148,101,.223,.222,.001,.323,.377,-.054,.273,.295,-.022
Alcantara, Sandy,645261,2018,146,91,.214,.216,-.002,.359,.333,.026,.317,.311,.006
Venters, Jonny,458924,2018,145,101,.208,.237,-.029,.280,.333,-.053,.257,.295,-.038
Lively, Ben,594902,2018,145,100,.325,.299,.026,.492,.497,-.005,.387,.378,.009
Bummer, Aaron,607481,2018,144,98,.301,.271,.030,.376,.380,-.004,.323,.312,.011
Fried, Max,608331,2018,142,76,.224,.237,-.013,.345,.348,-.003,.310,.325,-.015
Adam, Jason,592094,2018,142,87,.246,.230,.016,.533,.477,.056,.365,.348,.017
Farrell, Luke,608652,2018,141,85,.244,.248,-.004,.463,.425,.038,.338,.329,.009
Springs, Jeffrey,605488,2018,141,95,.256,.253,.003,.408,.411,-.003,.324,.326,-.002
Kolarek, Adam,592473,2018,141,116,.284,.240,.044,.373,.343,.030,.295,.269,.026
Rhame, Jacob,642008,2018,140,103,.295,.226,.069,.558,.420,.138,.376,.294,.082
Cedeno, Xavier,458584,2018,140,90,.210,.252,-.042,.290,.331,-.041,.266,.299,-.033
Tillman, Chris,501957,2018,137,105,.365,.336,.029,.652,.592,.060,.459,.435,.024
Jones, Nate,518858,2018,137,87,.239,.260,-.021,.385,.451,-.066,.321,.352,-.031
Bashlor, Tyler,641341,2018,135,95,.218,.204,.014,.420,.408,.012,.317,.307,.010
Cole, Taylor,518566,2018,135,81,.169,.199,-.030,.280,.284,-.004,.246,.262,-.016
Chargois, JT,608638,2018,135,78,.222,.204,.018,.376,.286,.090,.301,.263,.038
Nuno III, Vidal,573064,2018,134,93,.198,.205,-.007,.355,.328,.027,.264,.257,.007
Tazawa, Junichi,547749,2018,134,90,.302,.284,.018,.586,.526,.060,.402,.375,.027
Bleier, Richard,542947,2018,133,113,.286,.280,.006,.365,.383,-.018,.288,.302,-.014
Ponce de Leon, Daniel,594965,2018,132,87,.205,.238,-.033,.308,.384,-.076,.268,.309,-.041
Casilla, Santiago,433586,2018,131,86,.170,.247,-.077,.226,.339,-.113,.260,.327,-.067
Araujo, Pedro,606478,2018,130,81,.264,.215,.049,.582,.440,.142,.405,.341,.064
Shoemaker, Matt,533167,2018,130,86,.244,.289,-.045,.387,.482,-.095,.304,.358,-.054
Bracho, Silvino,611093,2018,129,80,.223,.235,-.012,.357,.331,.026,.291,.292,-.001
Moylan, Peter,493247,2018,129,86,.299,.290,.009,.449,.402,.047,.371,.351,.020
Peters, Dillon,596071,2018,129,96,.306,.292,.014,.477,.459,.018,.376,.365,.011
Holmes, Clay,605280,2018,129,83,.291,.270,.021,.398,.361,.037,.368,.357,.011
Kennedy, Brett,664028,2018,128,96,.330,.295,.035,.550,.474,.076,.405,.363,.042
Busenitz, Alan,641427,2018,126,84,.339,.276,.063,.624,.535,.089,.440,.385,.055
Schultz, Jaime,621289,2018,125,70,.175,.149,.026,.398,.349,.049,.308,.285,.023
Brasier, Ryan,518489,2018,124,88,.171,.218,-.047,.270,.333,-.063,.209,.259,-.050
Leiter Jr., Mark,643410,2018,123,87,.327,.296,.031,.589,.501,.088,.409,.366,.043
Toussaint, Touki,657053,2018,123,68,.182,.218,-.036,.283,.329,-.046,.288,.317,-.029
Morrow, Brandon,453344,2018,122,81,.214,.258,-.044,.277,.382,-.105,.252,.312,-.060
Gonsalves, Stephen,624427,2018,122,83,.283,.317,-.034,.404,.475,-.071,.369,.407,-.038
Mendez, Yohander,622795,2018,121,88,.264,.221,.043,.434,.366,.068,.345,.304,.041
Perez, Oliver,424144,2018,120,68,.155,.169,-.014,.200,.267,-.067,.180,.214,-.034
Smith, Drew,622098,2018,120,94,.309,.282,.027,.445,.425,.020,.342,.327,.015
Blackburn, Paul,621112,2018,119,92,.303,.274,.029,.450,.380,.070,.341,.305,.036
Neverauskas, Dovydas,596720,2018,119,81,.280,.263,.017,.598,.560,.038,.394,.375,.019
Alcantara, Victor,622505,2018,119,92,.223,.244,-.021,.420,.397,.023,.290,.293,-.003
Hudson, Dakota,641712,2018,118,80,.196,.209,-.013,.237,.272,-.035,.265,.289,-.024
Olson, Tyler,621397,2018,118,66,.245,.198,.047,.434,.336,.098,.322,.268,.054
Peterson, Tim,623402,2018,118,87,.261,.249,.012,.495,.457,.038,.333,.314,.019
Milone, Tommy,543548,2018,118,93,.330,.308,.022,.580,.537,.043,.384,.362,.022
Swarzak, Anthony,461872,2018,116,70,.280,.246,.034,.490,.442,.048,.371,.344,.027
Kontos, George,502004,2018,116,91,.262,.281,-.019,.476,.463,.013,.339,.353,-.014
Montgomery, Jordan,656756,2018,116,81,.240,.227,.013,.356,.352,.004,.300,.293,.007
Santana, Ervin,429722,2018,114,87,.310,.286,.024,.670,.639,.031,.426,.417,.009
Gomez, Jeanmar,491646,2018,114,76,.293,.269,.024,.455,.438,.017,.344,.341,.003
Soroka, Mike,647336,2018,113,85,.288,.283,.005,.413,.427,-.014,.322,.327,-.005
Gilmartin, Sean,543219,2018,113,85,.230,.285,-.055,.410,.468,-.058,.319,.366,-.047
Boyer, Blaine,430641,2018,109,87,.344,.354,-.010,.688,.572,.116,.444,.420,.024
Bowman, Matt,621199,2018,109,71,.309,.272,.037,.511,.450,.061,.374,.347,.027
Loaisiga, Jonathan,642528,2018,108,63,.271,.266,.005,.438,.399,.039,.344,.331,.013
Bush, Matt,456713,2018,108,73,.256,.249,.007,.467,.404,.063,.356,.341,.015
Duffey, Tyler,608648,2018,107,83,.260,.288,-.028,.540,.548,-.008,.345,.373,-.028
Thornburg, Tyler,592804,2018,107,75,.295,.282,.013,.537,.456,.081,.383,.352,.031
Carpenter, Ryan,543001,2018,107,85,.347,.345,.002,.643,.608,.035,.429,.421,.008
Kahnle, Tommy,592454,2018,107,62,.256,.242,.014,.456,.412,.044,.349,.333,.016
Leone, Dominic,608678,2018,106,72,.287,.270,.017,.394,.421,-.027,.304,.323,-.019
Lawrence, Casey,596271,2018,106,80,.298,.279,.019,.489,.473,.016,.371,.360,.011
Barnette, Tony,501817,2018,104,71,.196,.213,-.017,.340,.374,-.034,.258,.280,-.022
Kelly, Casey,543391,2018,104,82,.292,.273,.019,.479,.445,.034,.338,.322,.016
Hendriks, Liam,521230,2018,104,71,.272,.247,.025,.413,.358,.055,.332,.303,.029
May, Trevor,543507,2018,103,61,.221,.201,.020,.379,.365,.014,.281,.265,.016
Gonzalez, Merandy,642571,2018,103,76,.326,.315,.011,.505,.511,-.006,.378,.376,.002
Finnegan, Brandon,605232,2018,103,74,.318,.299,.019,.553,.478,.075,.399,.376,.023
Gossett, Daniel,605254,2018,102,81,.269,.271,-.002,.495,.533,-.038,.355,.371,-.016
Dull, Ryan,623430,2018,101,72,.242,.249,-.007,.374,.409,-.035,.294,.318,-.024
Garcia, Yimi,554340,2018,101,76,.305,.295,.010,.611,.574,.037,.400,.383,.017
Neshek, Pat,450212,2018,101,81,.245,.227,.018,.383,.374,.009,.281,.270,.011
Littell, Zack,641793,2018,101,72,.298,.274,.024,.524,.442,.082,.396,.363,.033
Reininger, Zac,643617,2018,100,73,.311,.295,.016,.589,.550,.039,.396,.377,.019
Hart, Donnie,643354,2018,99,74,.360,.294,.066,.488,.453,.035,.401,.363,.038
Collins, Tim,525768,2018,99,66,.264,.225,.039,.471,.396,.075,.357,.317,.040
Coulombe, Danny,543056,2018,98,61,.279,.219,.060,.488,.351,.137,.363,.293,.070
Meyer, Ben,656738,2018,97,70,.338,.288,.050,.545,.470,.075,.425,.388,.037
Sampson, Adrian,592716,2018,96,75,.270,.287,-.017,.517,.557,-.040,.351,.381,-.030
Black, Ray,605143,2018,95,51,.207,.178,.029,.427,.299,.128,.316,.261,.055
Cingrani, Tony,571561,2018,95,50,.221,.180,.041,.349,.303,.046,.282,.246,.036
Cordero, Jimmy,622772,2018,94,68,.288,.296,-.008,.400,.407,-.007,.348,.354,-.006
Poyner, Bobby,596074,2018,93,64,.256,.237,.019,.477,.408,.069,.326,.292,.034
Mejia, Adalberto,606167,2018,92,68,.215,.249,-.034,.253,.389,-.136,.261,.325,-.064
James, Josh,657624,2018,91,53,.183,.196,-.013,.341,.343,-.002,.268,.275,-.007
Santos, Luis,608601,2018,91,56,.333,.277,.056,.615,.451,.164,.423,.345,.078
Stewart, Brock,592779,2018,90,64,.303,.299,.004,.526,.486,.040,.379,.369,.010
Webb, Tyler,643778,2018,90,65,.278,.264,.014,.468,.469,-.001,.351,.348,.003
Ramos, AJ,573109,2018,88,51,.236,.217,.019,.403,.412,-.009,.339,.335,.004
Meisinger, Ryan,664682,2018,87,56,.240,.289,-.049,.560,.610,-.050,.370,.416,-.046
Cloyd, Tyler,543031,2018,87,63,.329,.278,.051,.579,.452,.127,.416,.352,.064
Paredes, Eduardo,622161,2018,86,63,.325,.279,.046,.610,.582,.028,.416,.402,.014
Vieira, Thyago,600986,2018,85,58,.292,.294,-.002,.514,.548,-.034,.387,.401,-.014
Altavilla, Dan,656186,2018,85,45,.162,.186,-.024,.279,.313,-.034,.288,.307,-.019
Diaz, Miguel,622766,2018,85,43,.225,.175,.050,.408,.303,.105,.311,.263,.048
Gott, Trevor,641627,2018,84,57,.271,.284,-.013,.500,.476,.024,.367,.380,-.013
Carroll, Cody,606944,2018,84,55,.296,.285,.011,.577,.568,.009,.418,.411,.007
Dunn, Mike,445197,2018,83,53,.344,.277,.067,.484,.377,.107,.423,.384,.039
Grimm, Justin,518748,2018,83,58,.297,.249,.048,.500,.440,.060,.383,.356,.027
Lyons, Tyler,544928,2018,83,54,.343,.284,.059,.571,.494,.077,.409,.368,.041
Cuevas, William,571035,2018,83,49,.294,.244,.050,.515,.430,.085,.403,.356,.047
Gohara, Luiz,627894,2018,82,56,.222,.226,-.004,.431,.439,-.008,.311,.317,-.006
O'Day, Darren,503285,2018,82,49,.237,.200,.037,.421,.323,.098,.305,.252,.053
De Los Santos, Enyel,660853,2018,81,57,.271,.263,.008,.486,.372,.114,.356,.321,.035
Wingenter, Trey,622259,2018,81,42,.191,.216,-.025,.338,.389,-.051,.291,.318,-.027
Miller, Shelby,571946,2018,79,52,.343,.300,.043,.643,.617,.026,.437,.428,.009
Curtis, Zac,657205,2018,79,41,.214,.215,-.001,.321,.305,.016,.328,.333,-.005
Sims, Lucas,608371,2018,77,46,.242,.230,.012,.435,.398,.037,.362,.345,.017
Rumbelow, Nick,592705,2018,77,54,.275,.231,.044,.580,.477,.103,.380,.331,.049
Jepsen, Kevin,448178,2018,77,57,.238,.280,-.042,.492,.485,.007,.358,.376,-.018
Brigham, Jeff,656257,2018,77,50,.271,.245,.026,.458,.410,.048,.372,.378,-.006
Cook, Ryan,475857,2018,76,43,.234,.210,.024,.453,.388,.065,.336,.305,.031
Thompson, Jake,622097,2018,76,51,.230,.229,.001,.377,.395,-.018,.308,.317,-.009
Lockett, Walker,621141,2018,76,54,.333,.289,.044,.621,.527,.094,.436,.387,.049
De Jong, Chase,608328,2018,74,55,.265,.246,.019,.485,.418,.067,.346,.316,.030
Pounders, Brooks,572044,2018,72,51,.368,.295,.073,.662,.503,.159,.448,.362,.086
Glover, Koda,606983,2018,71,52,.217,.265,-.048,.283,.357,-.074,.274,.320,-.046
Middleton, Keynan,641871,2018,71,45,.233,.234,-.001,.350,.380,-.030,.303,.312,-.009
Mills, Alec,621219,2018,71,41,.172,.173,-.001,.297,.296,.001,.246,.248,-.002
Jerez, Williams,605301,2018,71,48,.270,.339,-.069,.460,.567,-.107,.353,.418,-.065
