last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Matz, Steven,571927,2018,654,434,.232,.228,.004,.419,.379,.040,.317,.302,.015
Kershaw, Clayton,477132,2018,650,462,.227,.241,-.014,.366,.370,-.004,.272,.283,-.011
Paxton, James,572020,2018,645,394,.224,.230,-.006,.386,.391,-.005,.287,.292,-.005
Syndergaard, Noah,592789,2018,644,443,.250,.231,.019,.348,.315,.033,.286,.268,.018
Romano, Sal,607219,2018,644,482,.267,.272,-.005,.453,.455,-.002,.334,.339,-.005
Anderson, Chase,502624,2018,644,452,.228,.247,-.019,.426,.437,-.011,.317,.330,-.013
Minor, Mike,501985,2018,640,462,.235,.245,-.010,.445,.450,-.005,.312,.320,-.008
Archer, Chris,502042,2018,638,421,.268,.249,.019,.437,.412,.025,.330,.315,.015
Wood, Alex,622072,2018,637,454,.247,.245,.002,.363,.371,-.008,.288,.293,-.005
Tanaka, Masahiro,547888,2018,635,434,.240,.246,-.006,.422,.408,.014,.307,.306,.001
Ross, Tyson,475115,2018,634,443,.237,.254,-.017,.394,.404,-.010,.309,.326,-.017
Velasquez, Vince,592826,2018,630,402,.250,.227,.023,.418,.352,.066,.325,.296,.029
Colon, Bartolo,112526,2018,628,519,.291,.305,-.014,.547,.530,.017,.362,.365,-.003
Yarbrough, Ryan,642232,2018,628,442,.246,.253,-.007,.414,.407,.007,.314,.316,-.002
Estrada, Marco,462136,2018,627,471,.274,.250,.024,.521,.460,.061,.360,.335,.025
Stratton, Chris,608717,2018,625,457,.273,.289,-.016,.455,.478,-.023,.339,.357,-.018
Sale, Chris,519242,2018,617,332,.181,.174,.007,.288,.292,-.004,.237,.238,-.001
Flaherty, Jack,656427,2018,615,363,.199,.205,-.006,.345,.325,.020,.281,.279,.002
Guerra, Junior,448855,2018,611,415,.264,.245,.019,.434,.397,.037,.333,.314,.019
Weaver, Luke,596133,2018,609,431,.277,.265,.012,.441,.431,.010,.340,.334,.006
Liriano, Francisco,434538,2018,586,398,.252,.266,-.014,.421,.442,-.021,.337,.355,-.018
